TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20230111220714,3,16,22,1,0,0,0
20230111220714,4,10,22,1,0,0,0
20230111220728,1,60,18,1,0,0,0
20230111220728,2,58,20,2,0,0,0
20230111220728,3,25,22,2,0,0,0
20230111220728,4,22,22,2,0,0,0
20230111220761,1,15,18,2,0,0,0
20230111220761,2,58,24,2,0,0,0
20230111220769,1,22,18,2,0,0,0
20230111220769,2,46,24,2,0,0,0
20230111220769,3,64,24,1,0,0,0
20230111220769,4,21,25,1,0,0,0
20230111220784,1,52,18,1,0,0,0
20230111220784,2,48,20,2,0,0,0
20230111220786,1,38,18,1,0,0,0
20230111220786,2,32,20,2,0,0,0
20230111220786,3,0,22,1,0,0,0
20230111220818,1,55,18,2,0,0,0
20230111220818,2,54,20,1,0,0,0
20230111220818,3,16,22,2,0,0,0
20230111220826,1,52,19,1,0,0,0
20230111220848,1,46,18,2,0,0,0
20230111220848,2,38,20,2,0,0,0
20230111220849,1,64,19,1,0,0,0
20230111220877,1,53,18,2,0,0,0
20230111220877,2,51,20,1,0,0,0
20230111220881,1,39,18,2,0,0,0
20230111220881,2,5,22,2,0,0,0
20230111220881,3,2,22,1,0,0,0
20230111220898,1,47,18,2,0,0,0
20230111220898,2,55,20,1,0,0,0
20230111220898,3,21,22,1,0,0,0
20230111220898,5,7,22,1,0,0,0
20230111220903,1,68,18,1,0,0,0
20230111220903,2,62,20,2,0,0,0
20230111220903,3,31,22,2,0,0,0
20230111220905,1,37,18,1,0,0,0
20230111220905,2,34,20,2,0,0,0
20230111220905,3,45,29,1,0,0,0
20230111220909,1,64,18,2,0,0,0
20230111220909,2,54,25,2,0,0,0
20230111220909,3,54,26,1,0,0,0
20230111220909,4,7,26,2,0,0,0
20230111220911,1,56,18,1,0,0,0
20230111220911,2,30,22,2,0,0,0
20230111220911,3,24,22,1,0,0,0
20230111220911,5,9,23,2,0,0,0
20230111220913,1,33,18,1,0,0,0
20230111220913,2,27,21,2,0,0,0
20230111220913,3,8,30,2,0,0,0
20230111220913,4,2,22,1,0,0,0
20230111220931,1,53,18,2,0,0,0
20230111220931,2,50,20,1,0,0,0
20230111220976,1,85,18,1,60,0,0
20230111220976,2,85,20,2,60,0,0
20230111220977,1,58,19,1,0,0,0
20230111220991,1,64,19,1,0,0,0
20230111220991,2,53,21,2,0,0,0
20230111221009,1,31,19,1,0,0,0
20230111221009,2,31,28,1,0,0,0
20230111221012,1,80,18,2,0,0,0
20230111221012,2,85,20,1,60,0,0
20230111221015,1,59,18,1,0,0,0
20230111221015,2,59,20,2,0,0,0
20230111221025,1,31,19,1,0,0,0
20230111221030,1,61,18,1,0,0,0
20230111221030,2,38,22,1,0,0,0
20230111221030,3,38,26,2,0,0,0
20230111221030,4,13,23,2,0,0,0
20230111221030,5,8,23,1,0,0,0
20230111221030,6,2,23,1,0,0,0
20230111221034,1,28,18,2,0,0,0
20230111221034,2,80,26,1,0,0,0
20230111221034,3,29,20,1,0,0,0
20230111221034,4,17,26,2,0,0,0
20230111221034,5,8,22,1,0,0,0
20230111221034,6,6,22,2,0,0,0
20230111221034,7,2,22,2,0,0,0
20230111221038,1,57,18,1,0,0,0
20230111221038,2,60,20,2,0,0,0
20230111221038,3,20,22,1,0,0,0
20230111221047,1,41,18,2,0,0,0
20230111221047,2,41,20,1,0,0,0
20230111221047,3,2,22,2,0,0,0
20230111221052,1,17,18,2,0,0,0
20230111221052,2,49,24,1,0,0,0
20230111221063,1,29,18,2,0,0,0
20230111221063,2,5,22,2,0,0,0
20230111221063,3,3,22,2,0,0,0
20230111221070,1,50,18,1,0,0,0
20230111221070,2,40,20,2,0,0,0
20230111221070,3,15,22,2,0,0,0
20230111221070,4,12,22,2,0,0,0
20230111221094,1,33,19,2,0,0,0
20230111221101,1,41,18,1,0,0,0
20230111221101,2,42,20,2,0,0,0
20230111221101,3,11,22,2,0,0,0
20230111221101,4,7,22,2,0,0,0
20230111221123,1,37,18,2,0,0,0
20230111221123,2,37,20,1,0,0,0
20230111221123,3,13,22,1,0,0,0
20230111221123,4,7,22,2,0,0,0
20230111221156,1,47,18,2,0,0,0
20230111221156,2,51,20,1,0,0,0
20230111221156,3,20,22,1,0,0,0
20230111221156,4,15,22,2,0,0,0
20230111221200,1,52,18,1,0,0,0
20230111221200,2,37,20,2,0,0,0
20230111221200,3,3,22,2,0,0,0
20230111221200,4,6,22,1,0,0,0
20230111221229,1,28,18,2,0,0,0
20230111221229,2,28,20,1,0,0,0
20230111221229,3,2,22,2,0,0,0
20230111221229,4,0,22,1,0,0,0
20230111221244,1,71,19,1,0,0,0
20230111221245,1,85,19,2,60,0,0
20230111221264,1,48,18,1,0,0,0
20230111221264,2,44,20,2,0,0,0
20230111221264,3,16,22,1,0,0,0
20230111221271,1,43,18,1,0,0,0
20230111221271,2,35,20,2,0,0,0
20230111221271,3,15,22,2,0,0,0
20230111221271,4,10,22,1,0,0,0
20230111221272,1,43,18,1,0,0,0
20230111221272,2,40,20,2,0,0,0
20230111221272,3,19,22,1,0,0,0
20230111221272,4,14,22,2,0,0,0
20230111221272,5,11,22,1,0,0,0
20230111221307,1,29,19,1,0,0,0
20230111221307,2,28,28,2,0,0,0
20230111221314,1,85,19,2,60,0,0
20230111221334,1,77,18,2,0,0,0
20230111221334,2,85,20,1,60,0,0
20230111221354,1,69,19,1,0,0,0
20230111221363,1,26,19,2,0,0,0
20230111221373,1,45,18,2,0,0,0
20230111221373,2,13,22,2,0,0,0
20230111221373,3,6,22,1,0,0,0
20230111221373,4,1,22,2,0,0,0
20230111221382,1,69,18,1,0,0,0
20230111221382,2,57,20,2,0,0,0
20230111221390,1,40,18,2,0,0,0
20230111221390,2,39,20,1,0,0,0
20230111221390,3,10,22,1,0,0,0
20230111221390,4,8,22,1,0,0,0
20230111221390,5,7,22,1,0,0,0
20230111221392,1,36,18,2,0,0,0
20230111221392,2,3,22,2,0,0,0
20230111221392,3,4,22,2,0,0,0
20230111221393,1,61,19,1,0,0,0
20230111221393,2,60,20,2,0,0,0
20230111221411,1,85,19,1,60,0,0
20230111221422,1,38,19,1,0,0,0
20230111221425,1,60,18,2,0,0,0
